id,title,plot
1221,A Woman Called Sada Abe,A true-life tale of a broken woman whose hedonistic tryst with a high-class restaurateur resulted in a horrific crime of passion that littered Tokyo headlines in 1936.
1222,WWE SummerSlam,"At SummerSlam, Universal Champion Roman Reigns will battle 16-time World Champion John Cena in a highly anticipated matchup for the ages."
1223,Little House on the Prairie,The life and adventures of the Ingalls family in the nineteenth century American Midwest.
1224,Smallville Season 3 Promo,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas. It is an interpretation of the Superman story that features young Clark Kent coming to grips with his emerging superpowers as he transitions from boyhood to manhood, and having difficulties as he comes to grips with his emerging superpowers. In this season's promos, Clark continues his romance with Lois and faces his destiny as he overcomes his trials, forging the iconic identity by which he will be known for all time, and saving the town of Smallville from evil and catastrophic disasters."
1225,Godzilla vs. Gigan,"A manga artist becomes suspicious of his employers when a garbled message is discovered on tape. As he forms a team to investigate, Godzilla and Anguirus set out to help defeat the invaders."
1226,Like Water for Chocolate,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking."
1227,We Were the Mulvaneys,"Based on the novel by the same name, We Were the Mulvaneys is a sensitive portrayal of one family's journey as they face conflict, fear, tragedy and ultimately, themselves."
1228,A Tale of Lost Times,Kind and instructive tale of four evil wizards who decided to regain youth. But for this it was necessary to find people aimlessly waste their time. Luck smiled on them! They met four disorderly students. Wizards bewitched students and turned them into old people and themselves become children. But the students had one last chance - before sunset they had to find a home of wizards and move back magic arrows on the clock.::Laforto
1229,Nefertiti Resurrected,"Dr. Joann Fletchers, an Egyptologist finds three abandoned mummies in a tomb in the Valley Of Kings. She thinks the third mummy is the forgotten legend, once the most powerful woman on earth; Nefertiti. With the help of modern day technology and scientists she tries to uncover mysteries surrounding the life of Nefertiti. But is the mummy really Nefertiti?::McDonald Koffi"
1230,Prime Suspect,A female police detective investigates a series of serial murders while dealing with sexist hostility from her male comrades.
1231,Inserts,"A young, once-great Hollywood film director refuses to accept changing times during the early 1930s, and confines himself to his decaying mansion to make silent porn flicks."
1232,Lord of the Rings: The Fellowship of the Ring,
1233,Jane Goodall's Wild Chimpanzees,A cinematic portrait of the great zoologist and the chimpanzees she has spent a lifetime studying.
1234,A Fistful of Dollars,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
1235,Son of Godzilla,"A reporter stumbles upon weather experiments on a tropical island, discovering giant mantids, a cast away woman, and an infant monster that Godzilla must adopt and learn to raise as one of his own."
1236,Wendy and Lucy,"Over the summer, a series of unfortunate happening triggers a financial crisis for a young woman and she soon finds her life falling apart."
1237,Plane - IMDb,MIA takes extreme measures to evade a huge flock of birds.
1238,Trekkies,"Denise Crosby takes a first look at the huge fans of ""Star Trek"" and how the series from around America has affected and shaped their lives."
1239,Detonator Orgun,"Tomoru is an average student in Artificial City 5 of Earth 2292 but is bored with his life. Losing himself in VR dreams everynight to avoid the banality of his life he dreams of adventure and 'times gone by'. Meanwhile, the EDF (Earth Defense Force) have been picking up strange signals from deep in space and have come to recognise them as points in 3 dimensional space, a literal schematic for building....something. With the arrival of the Enemy, a strange seemingly indistructible living machine, Tomoru is caught within the city as the Enemy attacks and is nearly run over by Dr Kanzaki who happens to be head of the EDF department given the job of bringing the unknown schematic to life. But the unknown Enemy seems to be searching for something and targets Tomoru as it's target and all seems done for. But when all seems lost, the EDFs' mysterious creation comes to life and saves the life of Tomoru and perhaps the entire world.::Sahuagin"
1240,National Geographic,
1241,Quark: The Complete Series,"Stephen and Jimmy-Jerome suffer through this 1970s sci-fi sitcom, which does not hold up at all. You can find the episodes yourself on YouTube. Thankfully, it was short-lived."
1242,Bob the Builder: Bob Saves the Day!,"Super construction worker Bob the Builder is here to save the day! And his helpful crew of machines wants to help! When Spud accidentally knocks off his nose, can Muck and Dizzy sniff out a replacement nose? Who knows? Maybe a mole in a hole. Then, it's Bob to the rescue when Roley the steamroller becomes a runaway sleep roller. Can Bob rescue Roley before he flattens the town? Can Bob save afamily of porcupines from being flattened? Can Bob fix everything? It's no prob for Bob, the can-do construction worker who always saves the day!"
1243,Jason Goes to Hell: The Final Friday,Serial killer Jason Voorhees' supernatural origins are revealed.
1244,The Flintstones (Sega Genesis),"Paul Rocky, Nick Earthy, and Josh Henderstone play The Flintstones."
1245,Boa vs. Python,"After a genetically-altered python escapes, a scientist is enlisted to help kill it by releasing a giant boa constrictor that he owns."
1246,Sharpe's Sword,"Sharpe is tasked to protect the most important spy in Lord Wellington's network, but domestic issues, a traumatized young girl, and possible French spies all threaten his success."
1247,The Lower Depths,"In a Japanese slum, various residents play out their lives, dreaming of better things or settling for their lot. Among them is a man who pines for a young woman but is stymied by her deceptive family."
1248,Love Beat the Hell Outta Me,"Four friends all going a painful breakup, know too much about each other, and the hostility they've been expressing gets turned toward each other."
1249,The Insider,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
1250,The Wonderful World of Louis Armstrong,"A stylized and intimate portrait of the fantastic life of Louis Armstrong. The film charts the story of the innovator, the first great jazz soloist, band leader, pop star, actor and American cultural ambassador Louis Armstrong. The creator of jazz as we know it today, the wonderful World of Louis Armstrong is a sensitive insight into the life of the man behind the trumpet, An epic story that spans 70 years from his childhood day on the streets of New Orleans to his adopted home of Queen, New York. the film maps a career that has lasted long after him.::anonymous"
1251,Saajan,A poet (Sanjay Dutt) and his best friend (Salman Khan) fall in love with the same woman (Madhuri Dixit).
1252,The Deceivers,"Fact-based account of a secret society of murderers, and of the man who exposed them in British India 1825."
1253,Jackson Pollock: Love and Death on Long Island,A documentary about the life of artist Jackson Pollock.
1254,Quincy Jones: In the Pocket,
1255,The War Zone,"An alienated teenager, saddened that he has moved away from London, must find a way to deal with a dark family secret."
1256,The Players Club,A woman must contend with rival strippers and her boss in an attempt to make a legitimate living.
1257,Maggie and Annie,"Annie, a happily married woman with a loving husband and daughter, joins her company's softball team and becomes good friends with her teammate, the openly gay Maggie. Much to Annie's surprise, her friendship with Maggie gradually develops into a strong attraction.::Anonymous"
1258,Solas,"While waiting for her husband to recover in a hospital, a mother stays with her estranged daughter, Maria, who fled her parents rural home in Andalusia because she could no longer bear her father's abusiveness and her mother's passivity."
1259,Lover of the Last Empress,Empress Dowager Cixi goes from just another pretty face in the harem of the concubines to the First Lady of Vice via various strategies and manipulations in a most-ambitious political conspiracy with spine-chilling viciousness.
1260,Red Zone Cuba,"Escaped convict Griffin and his friends ran all the way to Hell...with a penny, and a broken cigarette."
1261,Bloodfist III: Forced to Fight,"Jimmy Boland is a man unjustly accused of a brutal crime. Within the prison he must fight for survival, freedom and justice."
1262,Detonator II: Night Watch,Rembrandt's Night Watch returns to Amsterdam fake. UN agents Mike and Sabrina investigate there and in Hong Kong - stumbling on N.Korean special bombs aimed at the West's communication.
1263,Short Shorts,An American Muslim teenager tries to maintain both her family's approval and that of her friends. A coming of age about the little ways we divert from our upbringings with the choices we make.
1264,Mama Flora's Family,Mama Flora reflects on her life while trying to help her grand-daughter get her life right and be a better mother for her son. All while bringing the family she has left back together. Movies takes place from the 1910s to the 1970s.
1265,Pirates of Silicon Valley,History of Apple and Microsoft.
1266,Hum Aapke Hain Koun...!,"Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby."
1267,Bjork: Inner or Deep Part of an Animal or Plant Structure,"A documentary that follows Björk and the making of her new album ""Medúlla."" Features the singing/beatboxing talents of Shlomo, Rahzel, Tanya Tagaq, Dokaka, Mike Patton, and Björk herself. Filmed all over the world, ""The Inner or Deep Part of a Plant or Animal Structure"" is a documentary you won't want to miss.::Sal Profaci"
1268,Wild and Crazy #2 Special Edition,"Officers from the Las Vegas Police Department investigate a woman who refused to pay her taxi fare. Then, the Portland Police Bureau questions two men after officers receive two separate calls regarding a fight involving a knife. Finally, officers from the Broward County Sheriff's Office respond to a robbery-on-foot call involving a tourist chasing after a man who allegedly stole his gold necklace.::tv guide"
1269,Kuch Kuch Hota Hai,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali."
1270,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,"Hoping to push Britain to the forefront of aviation, a London publisher organizes an international air race across the English Channel, but must contend with two entrants vying for his daughter, as well as national rivalries and cheating."
1271,What is Your Favorite Futurama Episode,
1272,The Bible Collection: Jesus,a look at the Life of Jesus from being a Carpenter to His Destiny
1273,Adventures of the Mini Goddesses,"A random collection of adventures of the Goddesses featured multiple versions of Ah My Goddess. Parodies of other works, and a large number of jokes pervade this series of shorts in which the Goddesses torture and hang out with their friend Gan the rat.::Nathan Platt"
1274,Paheli,A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.
1275,Rip It Off,Three women outsmart unsavory men who try to cheat them out of their take in an almost-botched casino heist.
1276,The Twilight Zone,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
1277,Season 3 Builds Introducing Monster Subie - Mils Garage,Season 3 covers how-to videos with these cars and more on #MilsGarage - Follow us as we work on our builds and cover meets. How to and how not to tutorials sprinkled in. We're also a little crazy..
1278,Bloody Murder 2: Closing Camp,"A girl named Tracy is with a bunch of teens closing up camp. She keeps having dreams about her brother who dissappeared there and it was rumored he was killed by Trevor Moorehouse, and of course guess who shows up for blood."
1279,Find the Monkees,"TV producer Hubbell Benson has invited many young groups, including The Four Martians, The Foreign Agents, and The Jolly Green Giants to audition for a new TV show, but not The Monkees. However, when he hears their music on a hired tape recorder, he sets out to find this mystery band, not knowing that the Monkees are having great difficulty getting into the auditions at the same time.::The TV Archaeologist"
1280,The White Dragon,"A teenage girl is given the martial arts skills of The White Dragon. When she discovers that the famed assassin, Chicken Feathers, is planning to kill her beloved prince, she seeks to prevent him."
1281,3-2-1 Penguins: The Doom Funnel Rescue,Jason and his penguin friends must save Space Colony Doublewide from a destructive Doom Funnel.
1282,Green Legend Ran,"Set against the backdrop of a post-apocalyptic wasteland caused by an alien invasion, a young orphan must overcome warfare, revenge and basic survival following his mother's murder."
1283,Trigun,Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!
1284,The Element of Crime,A cop in a dystopian Europe investigates a serial killings suspect using controversial methods written by his now disgraced former mentor.
1285,The Ping-Pong Club,A school's ping pong club tries to take back their ping pong practice room from rivals despite their differences.
1286,The True Story of Alexander the Great,"Alexander the Great conquered Greece, Turkey, most of Asia (present Lebanon, Syria, Jordan, Iraq, Iran, Afghanistan, Pakistan, parts of others) and Egypt in Africa, before age 32. Even now, his innovations in battle continue to be studied."
1287,Irreversible,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass.
1288,The Wild World of Batwoman,The pointlessly named Batwoman and her bevy of Batmaidens fight evil and dance.
1289,Bojangles,"The life of Bill ""Bojangles"" Robinson, African-American tap-dancing star of stage and screen."
1290,The Real World You Never Saw: Hawaii,
1291,Woodrow Wilson: Episode Two - The Redemption of the World,
1292,The Sandlot 2,A film about a group of young baseball-enthusiasts who test the terrifying myth of Mr. Mertle owning a freakishly large and dangerous dog in his backyard.
1293,A Tale of Two Kitties,"Babbit and Catstello, take-offs on Bud Abbott and Lou Costello try to catch the little Tweety bird, using everything from stilts to dynamite. Trouble is, the tiny bird has a vicious streak in him."
1294,Scream: The TV Series,A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.
1295,X,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
1296,Y Tu Mamá También,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
1297,The Young Girls of Rochefort,"Two sisters leave their small seaside town of Rochefort in search of romance. Hired as carnival singers, one falls for an American musician, while the other must search for her ideal partner."
1298,Surfing for Life,"SURFING FOR LIFE, a vibrant and award-winning one-hour documentary about inspiring well-spent lives, offers a totally fresh look at successful aging. Narrated by Beau Bridges, it profiles ten legendary surfers who model healthy aging by staying active and engaged into their 7th, 8th and 9th decades. Through interviews, contemporary day-in-the-life footage, and a wealth of rare archival material, the film provides an eloquent and powerful antidote to the negative images of aging presented in America's youth-obsessed culture."
1299,Discoveries... Ireland: Mystic Ireland,"Ancient monuments, medieval-castles, and Irish music festivals."
1300,Boss of Bosses,"The story of the rise and fall of the powerful New York City organized crime boss, Paul Castellano."
1301,The Absolutely Fabulous Show,Claire is celebrating her 20th wedding anniversary by renewing her vows. She's hunting for a frock that leaves everyone speechless.
1302,Game of Death,A martial arts movie star must fake his death to find the people who are trying to kill him.
1303,An Evening in Paris,"In romantic Paris, two Parisians of Indian origin are in love namely Shyam or Sam and Roopa. Mystery and intrigue surround this romance, as Roopa is abducted and held by criminal mastermind Jack and his minions, who will trade her for a hefty ransom. Roopa has a look-alike in the shape and form of Suzy, who is sent in place of Roopa to ensure that the money is received, while the real Roopa is still being held captive. Sam must use all the resources available to in order to set Roopa free, but he will have a difficult time to differentiate between Suzy and Roopa.::rAjOo (gunwanti@hotmail.com)"
1304,Maburaho,"His name is Kazuki Shikimori, 17 years old. He attends Aoi Academy, a school for elite magicians. Each magician has a set limit of spells, and performing more spells than the limit allows will cause the user to turn into dust."
1305,Eastwood After Hours: Live at Carnegie Hall,Movie star and jazz afficionado Clint Eastwood presents some of his favorite music in an evening that celebrates a uniquely American art form as the soundtracks of many of his films are performed by some of America's hottest jazz musicians at New York's Carnegie Hall.
1306,Travel the World by Train: Asia,
1307,The Day of the Triffids,"With most of the world blinded and the dangerous carnivorous Triffids set loose, it falls upon a band of scattered survivors to fight this plant invasion and the madness following."
1308,Baby Einstein: On the Go,"A baby's discover of things that go (vehicles) on land, sea, and in the air."
1309,Black Orpheus,"A retelling of the Orpheus and Eurydice myth, set during the time of the Carnaval in Rio de Janeiro."
1310,Everybody Loves Raymond,The comical everyday life of sports columnist Ray Barone and his dysfunctional family.
1311,Merce Cunningham: A Lifetime of Dance,"A nice summary of the work of Merce Cunningham, with beautiful clips from old and new dances and an explanation of the way in which he has and continues to revolutionize dance."
1312,Kiss: The Second Coming,A documentary of KISS and their music starting from the 70's to the 00'
1313,My Sex Life... or How I Got Into an Argument,"Paul Dedalus is at a crossroads in his life. He has to make several decisions; should he complete his doctorate, does he want to become a full professor, does he really love his long-standing girlfriend, or should he re-start with one of his other lovers? Is he avoiding the despairing life his father can't escape from ?::David Morgans <in2023@mail.wlv.ac.uk>"
1314,Mick Foley's Greatest Hits & Misses: A Life in Wrestling,Matches Included.
1315,Saagar,Raja and Mona are best friends and Raja secretly loves her.Their fishermen village is at the mercy of arrogant Madam.When her grandson Ravi arrives Raja gives him a special place has a friend.Ravi and Mona falls in love and Raja decides to hide his emotions after finding the truth.::alex.mjacko@gmail.com
1316,"Northern Exposure, Season 1: Unexposed",
1317,America's Most Haunted Town,"Welcome to New Hope Pennsylvania, where even death it would seem is not the final departure for many of the towns residents."
1318,The Tigers,Cops find their careers and their lives in jeopardy when they spend a gangster's bribe money after releasing him from custody during a drug bust.
1319,Chance Pop Session,Three girls strive to become pop idols.
1320,Khottabych,"Gena is a hacker by heart and soul. He's a good fella. But he got himself in some real troubles. And the only thing that can save him - is a thousand years old Djinni, who attempts to learn how to live in the modern world."
1321,Peter Gunn,The cases of a stylishly cool private detective.
1322,Mandragora,"Two gay teenage runaways thrown out of their repressive homes try to survive on the streets of Prague. Hunger and desperation forces them into a life of prostitution, drugs, and teen-porn."
1323,Babe Ruth,A film based on the home-run legend's life.
1324,Dragon Tales,"Two children find a dragonscale, and have fun socializing with dragons."
1325,Ring 0: Birthday,"In this prequel to Ring, a young Sadako becomes an actress in hopes of escaping her troubled past. But strange visions and terrifying powers begin to manifest..."
1326,Now and Then,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
1327,Highlander: The Raven,A female Immortal and thief tries to redeem herself with the help of an ex-cop.
1328,Alice's Adventures in Wonderland,"Alice (Fiona Fullerton) is sitting by her sisters on the riverside when suddenly she falls into a deep sleep. During it she falls down a rabbit hole and enters a curious dream world where she meets unusual characters along the way, like The White Rabbit (Michael Crawford), The Mad Hatter (Robert Helpmann), and The Queen of Hearts (Dame Flora Robson).::Hannah Drinkwater"
1329,Wishmaster 3: Beyond the Gates of Hell,"The evil Djinn is back at again, this time wreaking havoc on the students of Illinois' Baxter University."
1330,Madlax,"A beautiful, female blonde assassin with supreme gun fighting skills, accepts contracts to kill villains, and fight against an oppressive army."
1331,Belfast and the Best of Northern Ireland,"We tour bustling Belfast, sneaking a peek at its politically charged neighborhoods, then head for the scenic Antrim Coast and go wild in the seaside resort of Portrush."
1332,Eric Clapton: Live in Hyde Park,
1333,The Swell Season,"The world fell in love with Glen Hansard and Markéta Irglová when their songwriting collaboration in the film Once (2007) culminated in a jubilant Oscar win. But behind the scenes, where Glen and Mar's on-screen romance became reality, a grueling two-year world tour threatens to fracture their fated bond. Filmed in black and white, this music-filled documentary is an intimate look at the exhilaration and turmoil created by both love and fame.::Anonymous"
1334,The Thief of Bagdad,"After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves."
1335,The Magic Christian,"Sir Guy Grand (Peter Sellers), the richest man in the world, adopts a homeless boy, Youngman (Sir Ringo Starr). Together, they set out to prove that anyone, and anything, can be bought with money."
1336,Trevor,"Upon hitting puberty, a high-school boy realizes he is homosexual and faces prejudice from his parents and friends."
1337,Beast Wars: Transformers,"The Transformers' war continues in an older time, through a new generation. On pliocenic Earth, the heroic Maximals and the evil Predacons battle for survival against each other and against a violent planet."
1338,Two Thousand Maniacs!,Six people are lured into a small Deep South town for a Centennial celebration where the residents proceed to kill them one by one as revenge for the town's destruction during the Civil War.
1339,Dragon Ball Z: Super Android 13,"The death of Dr. Gero at the hands of Androids 17 and 18 prompts the activation of Androids 13, 14, and 15. They try to kill Goku, who fights them with the help of Trunks, Piccolo, Vegeta, Krillin, and Gohan."
1340,Gamera 3: Revenge of Iris,"Gamera's ties to humanity have been severed as the Gyaos re-emerge. Nagamine and Asagi investigate as an orphaned girl named Ayana discovers a new creature. Named Iris, Ayana seeks revenge on Gamera for the death of her family."
1341,The Little Priest,A new priest comes to a little town causing discomfort to parishioners.
1342,Perfect Body,"Andie Bradley is a gymnast with big dreams for the Olympics. When offered to work with one of the leading coaches in the U.S., she gratefully accepts. When she gets to the gym, she is scrutinized by the coach about her weight and feels the pressure to lose the pounds. At first it's just dieting, but when she meets a fellow team member, Leslie, she realizes there are ways around it. It's possible to eat what you want, but not gain a pound.::<collins@ucinet.com>"
1343,Heavens Above!,A minister is accidentally appointed to a snobbish parish.
1344,Grateful Dawg,"Details the deeply rooted musical friendship between Jerry Garcia and David Grisman. Includes live Garcia/Grisman performances as well as rare and unique personal moments from the studio, backstage and home-style jam sessions. Interviews with friends and family are intertwined with live and archival elements, creating an intimate portrait of Jerry and David's relationship. Traces the Garcia/Grisman connection from their earliest days as budding bluegrassers, through the creation of the legendary Old & In the Way in the mid '70s, to the Garcia/Grisman Band that highlighted their love of traditional acoustic music in the '90s.::<by11thHour@aol.com>"
1345,When Harry Met Sally...,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
1346,Wrath of the Ninja: The Yotoden Movie,"In the year 1580, a man named Lord Nobunaga Oda sends hoards of unholy armies across Japan, slaying all who stand in their way. A young ninja escapes her villages' destruction with a short sword, one of the three mystical weapons that can end Oda's rule. During her quest, she is joined by two other ninjas who wield the other two weapons of legend, the sacred sword and spear.::anonymous"
1347,The Swindlers,Unlikely allies from different sides of the law must work together to achieve a common goal -- trapping the world's most legendary con man.
1348,Faithful unto Death,"The scene opens in a railway station in France. Henri Marteau, the station master, Marie, his wife, and his little daughter are living happily. War is declared with Prussia and Marteau is one of the conscripts called out. A message is received from the War Department appointing Marie as station mistress during his absence. When leaving, Marie gives him a small photo of herself and little daughter. In a battle Marteau is mortally wounded. When dying, he gives the photos to the Prussian officer, who gave him his wound, with the request that he forward them to his wife with news of his death. Before he has time to give the officer the address, he dies. Later the station house is attacked and the officer in charge of the attacking force is wounded and left in charge of Marie. One day he gives Marie the photos of the dead soldier's wife and daughter with the request that she forward them. She discovers she has been nursing the man who killed her husband. The station house is used as a divisional point by the Prussian invaders, from which they send orders and information to their troops. Marie, faithful to her own country, taps the wires and learns all the plans of the attacking forces. Owing to the message she carries to the French commander, one division of the Prussian army is cut to pieces. Suspecting that the wires have been tapped, the Prussians watch and discover Marie in the act of taking word of the plans to the French. Marie is tried by court-martial and sentenced to death. The little girl goes to the Crown Prince to plead for her mother's life. She finally persuades him to pardon her mother, but before the messenger arrives the firing squad have done their work. Completely prostrated by the loss of both her parents, the little girl collapses on the grave of her mother.::Moving Picture World synopsis"
1349,The Devil's Nightmare,A group of tourists traveling on a bus take a detour to stay overnight in a castle owned by a family cursed with a history of Satanism and death.
1350,"Underworld Live: Everything, Everything","Techno fans will dig the power and energy in this compilation featuring nine of the innovative British trio's jam sessions captured in Japan, Holland, Belgium, England and Ireland during their 1998-'99 world tour. Crisp sound makes tracks such as ""Push Upstairs"" and ""Pearls Girl"" pulsate with perfection. Add vivid concert film melded with imaginative visuals, and this dynamic video can't be beat.::Ulf Kjell Gür"
1351,Empire of Passion,"A married woman and her lover murder her husband and dump his body into a well. After a while, his ghost comes to haunt them while the local gossip grows stronger."
1352,A Woman Is a Woman,"A French striptease artist is desperate to become a mother. When her reluctant boyfriend suggests that his best friend impregnate her, feelings become complicated when she accepts."
1353,The Price of Desire,The Price of Desire tells the controversial story of how Le Corbusier effaced and defaced Eileen Gray's moral right to be recognized as the author of her work and as one of the most forceful and influential inspirations of a century of modern architecture and design.::Anonymous
1354,Spy Kids 2: Island of Lost Dreams,"The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids."
1355,Comedy Only in da Hood,"A collection of sketches detailing hilarious urban adventures only found in da hood! ""Comedy Only in Da Hood, Volume 1,"" dares to ask questions like ""If Eddie Murphy never made it out of da' hood, what would he be doing?"" We'll also get another first hand peek into the confidential legal files of none other than the well respected (and feared) Captain Child Support Man! You'll join him as he saves the day for countless Mother's and children, bringing dead beat Dad's to justice; he doesn't want all your money, he just wants what you owe!::Samad Davis"
1356,Love for Lydia,"This thirteen-part series explores just how painful love can be for young people. Would-be writer Edward Richardson is in love with heiress Lydia Aspen and wants her all to himself. Lydia professes to be in love with him, but her first love is excitement. There are several other young men who vie with Richardson for Lydia's affection, and she sends mixed signals to them all, playing them off against each other, sometimes with dire results. At least that's the way Richardson sees things, but it's not the whole story.::George S. Davis"
1357,Shackleton,"The true story of Shackleton's 1914 Endurance expedition to the South Pole, and his epic struggle to lead his twenty-eight man crew to safety after his ship was crushed in the pack ice."
1358,The Memoirs of Sherlock Holmes,The last installment of Sherlock Holmes' investigations.
1359,Boardwalk Hempire: The Rise and Fall of the Medical Kush Beach Club,"The Medical Kush Beach Club was the first and last medical marijuana store ever allowed in Venice Beach, California. This is the five year history of the Medical Marijuana Dispensary scene in Los Angeles. Shot on Venice Beach before, during and after Proposition 19.::Anonymous"
1360,Love Hina,"Keitaro Urashima promised a girl when he was young that they would meet up again at Tokyo University in the future. Sadly, in the National Practice Exam, Keitaro ranked 27th from the bottom. Knowing his grandmother owned a hotel, Keitaro intended to stay there while continuing his studies for Tokyo U, only to find out the hotel had long been transformed into an all-girls dormitory. Through an odd twist of fate, Keitaro eventually became the manager of the dorm, beginning his life of living with five other girls."
1361,Jackie's Back,Jackie has a heart-to-heart talk with his father on a sunny day in the Marina. With Jeffrey Sun and James Lee.
1362,Alegria: Cirque du Soleil,"The Cirque du Soleil production of Alegria filmed live in Sydney, Australia."
1363,It's All Gone Pete Tong,A famous DJ in the Ibiza club scene finds the alcohol and drug-fueled party that is his life threatened by the progressive loss of his hearing.
1364,ECW One Night Stand,"The stars of Extreme Championship Wrestling reunite to celebrate the promotion's history and legacy. Tommy Dreamer and the Sandman brawl with the Dudley Boys. Yoshihiro Tajiri faces Little Guido Maritato and Super Crazy in an international Three-Way-Dance. Rey Mysterio Jr. flies with Psicosis in an Extreme Lucha match, and more. Plus, ECW prepares for battle with an army of WWE Raw and SmackDown Superstars, led by Eric Bischoff and John Bradshaw Layfield.::JasonIK75"
1365,What We Did That Night,An ex-con (Rick Schroder) returns to town after being released from prison and begins threatening his former college buddies about a frat party hazing incident that they all have tried to hide in their past.
1366,Sahib Bibi Aur Ghulam,"A lowly servant, Bhognath gets close to the wife of his employer and narrates her story through his eyes and perspective."
1367,Satte Pe Satta,"The eldest of seven brothers, who run a family farm together, marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example."
1368,The Street Fighter,"After failing to reach a deal with her enemies, a mercenary karate master decides to protect the daughter of a recently deceased oil tycoon from the evil conglomerate that's after her inheritance."
1369,Candyman: Day of the Dead,"The Candyman is back, trying to convince his descendent, an artist, to join him."
1370,Howling IV: The Original Nightmare,A successful author moves to a small town after suffering a mental breakdown and is tormented by demons and werewolves.
1371,Amazon Warrior Women,"An American and a Russian archaeologists work over a period of ten years to dig out and positively identify the remains of warrior women of probable Scythian origin, and further determine that their bone DNA analysis are an exact match of contemporary Mongolian tribe women.::Artemis-9"
1372,Céline Dion: The Colour of My Love Concert,"Celine goes home to Quebec, to perform songs from her hit albums ""Unison,"" ""Celine Dion,"" and ""The Colour of My Love."" She is joined in two surprise duets by Clive Griffin (""When I Fall in Love"") and Peabo Bryson (""Beauty and the Beast"".) Celine also performs a song, written by her mother, for her parents in the audience.::Dr. Jekyll"
1373,The Politician's Wife,"A woman's life is turned upside down when it is revealed that her husband, a member of the British Parliament, has been having an affair with a former prostitute."
1374,Return to the Lost World,"When Belgian scientist Bertram Hammonds arrives in the Lost World to drill for crude oil, Professors Challenger and Summerlee return to the Lost World plateau."
1375,A Girl Walks Home Alone at Night,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
1376,New Fist of the North Star,"In the 21st century, a nuclear war turned most of the Earth's surface into a desert wasteland, which also resulted in the contamination of the Earth's water supply. A man named Sanga has built the fortified haven of the ""Last Land"", where he rules as its dictator by monopolizing the city's uncontaminated water supply. When he learns that the neighboring residents of Freedom Village are trying to dig up a well for their own, Sanga sends his underlings to sabotage their effort. Kenshiro, master of Hokuto Shinken, gets involved in the conflict between the two regions after saving Tobi, an informant hired by Freedom Village.::over_the-world"
1377,The Incredibly True Adventure of Two Girls in Love,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.
1378,Napoleon,A film about the French general's youth and early military career.
1379,Kill & Kill Again,A manhunt for a serial killer leads to a shocking discovery; a detective hunts a serial killer for more than 20 years.
1380,Calcutta Mail,Avinash comes to a city where everyone wants to kill him.
1381,Uprising,Jews rise up in the Warsaw Ghetto against the Nazis in 1943.
1382,The Tom Green Show: Early Exposure,
1383,Björk: Live at Cambridge,
1384,Sohryuden: Legend of the Dragon Kings,"The story features four divine Dragon Kings, rulers of the four parts of the world according to Chinese myths."
1385,Refugee,A Syrian doctor attempts to escape her war-ravaged homeland with her young daughter.
1386,Volcano Above the Clouds,"An expedition to Mount Kilimandjaro, in Africa, one of the highest peaks of the World, offers a real awareness of the increasing fragility of the best preserved places far from our daily life."
1387,Cop on a Mission,"An undercover cop hired as a bodyguard by a Triad. The lawman finds that he actually prefers the outlaw life, but trouble brews when the crime boss suspects his new employee is romantically involved with his wife."
